metric_id,source,name_cn,dtype,time_grain,update_freq,value_range,business_tag,null_semantics
LOAN_0001,行内信贷,客户所处地区,文本,日,T+1,文本或编码，需字典约束,客户画像,未维护、未授权查询和不适用需区分
LOAN_0002,行内信贷,客户行业大类,分类,日,T+1,枚举值,经营稳定性,未维护、未授权查询和不适用需区分
LOAN_0003,行内信贷,合同总金额,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
LOAN_0004,行内信贷,合同起始日,日期,日,T+1,合法日期，不晚于观察日,待业务复核,未维护或不适用
LOAN_0005,行内信贷,合同终止日,日期,日,T+1,合法日期，不晚于观察日,待业务复核,未维护或不适用
LOAN_0006,行内信贷,贷款余额,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
LOAN_0007,行内信贷,表内贷款余额,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
LOAN_0008,行内信贷,逾期天数,天数,日,T+1,"[0, +∞)",还款表现,无记录、0值和缺失需区分
LOAN_0009,行内信贷,逾期本金余额,金额,日,T+1,"[0, +∞)",还款表现,无记录、0值和缺失需区分
LOAN_0010,行内信贷,本年累计还款金额,金额,日,T+1,"[0, +∞)",还款表现,无记录、0值和缺失需区分
LOAN_0011,行内信贷,是否展期,布尔,日,T+1,"{是, 否}或{0, 1}",还款表现,无记录、0值和缺失需区分
LOAN_0012,行内信贷,贷款五级分类,分类,日,T+1,枚举值,还款表现,未维护、未授权查询和不适用需区分
CRD_0001,征信,未结清不良类表内信贷余额,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
CRD_0002,征信,未结清信贷余额合计,金额,日,T+1,"[0, +∞)",征信负债,无记录、0值和缺失需区分
CRD_0003,征信,未结清信贷笔数,计数,日,T+1,"[0, +∞)",征信负债,无记录、0值和缺失需区分
CRD_0004,征信,对外担保余额,金额,日,T+1,"[0, +∞)",征信负债,无记录、0值和缺失需区分
CRD_0005,征信,近一年逾期次数,计数,日,T+1,"[0, +∞)",还款表现,无记录、0值和缺失需区分
CRD_0006,征信,最长逾期天数,天数,日,T+1,"[0, +∞)",还款表现,无记录、0值和缺失需区分
CRD_0007,征信,近期征信查询次数,计数,日,T+1,"[0, +∞)",征信负债,无记录、0值和缺失需区分
CRD_0008,征信,近一年贷款审批查询次数,计数,日,T+1,"[0, +∞)",征信负债,无记录、0值和缺失需区分
BIZ_0001,工商,注册资本,金额,日,T+1,"[0, +∞)",工商稳定性,无记录、0值和缺失需区分
BIZ_0002,工商,成立日期,日期,日,T+1,合法日期，不晚于观察日,工商稳定性,未维护或不适用
BIZ_0003,工商,近一年法定代表人变更次数,计数,日,T+1,"[0, +∞)",工商稳定性,无记录、0值和缺失需区分
BIZ_0004,工商,近一年股东变更次数,计数,日,T+1,"[0, +∞)",工商稳定性,无记录、0值和缺失需区分
BIZ_0005,工商,近一年经营范围变更次数,计数,日,T+1,"[0, +∞)",工商稳定性,无记录、0值和缺失需区分
BIZ_0006,工商,企业登记状态,分类,日,T+1,枚举值,工商稳定性,未维护、未授权查询和不适用需区分
BIZ_0007,工商,近一年行政处罚次数,计数,日,T+1,"[0, +∞)",工商稳定性,无记录、0值和缺失需区分
JUD_0001,司法,近一年被执行案件数量,计数,事件型,不定期,"[0, +∞)",司法风险,无事件、未采集和缺失需区分
JUD_0002,司法,近一年被执行金额合计,金额,事件型,不定期,"[0, +∞)",司法风险,无事件、未采集和缺失需区分
JUD_0003,司法,近一年新增涉诉案件数量,计数,事件型,不定期,"[0, +∞)",司法风险,无事件、未采集和缺失需区分
JUD_0004,司法,近一年作为被告涉诉金额,金额,事件型,不定期,"[0, +∞)",司法风险,无事件、未采集和缺失需区分
JUD_0005,司法,是否失信被执行人,布尔,事件型,不定期,"{是, 否}或{0, 1}",司法风险,无事件、未采集和缺失需区分
JUD_0006,司法,近一年股权冻结次数,计数,事件型,不定期,"[0, +∞)",司法风险,无事件、未采集和缺失需区分
CASH_0001,资金流,当日入账总金额,金额,日,T+1,"[0, +∞)",资金活跃度,无记录、0值和缺失需区分
CASH_0002,资金流,当日出账总金额,金额,日,T+1,"[0, +∞)",资金活跃度,无记录、0值和缺失需区分
CASH_0003,资金流,当日入账笔数,计数,日,T+1,"[0, +∞)",资金活跃度,无记录、0值和缺失需区分
CASH_0004,资金流,当日出账笔数,计数,日,T+1,"[0, +∞)",资金活跃度,无记录、0值和缺失需区分
CASH_0005,资金流,账户日终余额,金额,日,T+1,"[0, +∞)",资金活跃度,无记录、0值和缺失需区分
CASH_0006,资金流,前十大交易对手入账金额占比,比率,日,T+1,"[0,1]",资金集中度,无法计算、未采集和缺失需区分
CASH_0007,资金流,近一月夜间交易金额,金额,日,T+1,"[0, +∞)",异常交易,无记录、0值和缺失需区分
CASH_0008,资金流,关联方入账金额,金额,日,T+1,"[0, +∞)",关联交易,无记录、0值和缺失需区分
CASH_0009,资金流,关联方出账金额,金额,日,T+1,"[0, +∞)",关联交易,无记录、0值和缺失需区分
OPN_0001,舆情,舆情标题,文本,事件型,不定期,文本或编码，需字典约束,舆情风险,未维护、未授权查询和不适用需区分
OPN_0002,舆情,风险标签,分类,事件型,不定期,枚举值,舆情风险,未维护、未授权查询和不适用需区分
OPN_0003,舆情,发布时间,日期,事件型,不定期,合法日期，不晚于观察日,舆情风险,未维护或不适用
OPN_0004,舆情,近一月负面舆情条数,计数,事件型,不定期,"[0, +∞)",舆情风险,无事件、未采集和缺失需区分
CUST_0001,客户主数据,投向行业大类名称,分类,日,T+1,枚举值,经营稳定性,未维护、未授权查询和不适用需区分
CUST_0002,客户主数据,五级分类名称,分类,日,T+1,枚举值,还款表现,未维护、未授权查询和不适用需区分
CUST_0003,客户主数据,客户类别,分类,日,T+1,枚举值,客户画像,未维护、未授权查询和不适用需区分
LMT_0001,授信敞口,授信总额度,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
LMT_0002,授信敞口,已用授信额度,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
LMT_0003,授信敞口,可用授信额度,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
LMT_0004,授信敞口,授信额度使用率,比率,日,T+1,"[0, +∞)，比例类需按口径复核是否限定在[0,1]",授信敞口,无法计算、未采集和缺失需区分
WARN_0001,预警反馈,风险等级,分类,日,T+1,枚举值,预警反馈,未维护、未授权查询和不适用需区分
WARN_0002,预警反馈,业务余额,金额,日,T+1,"[0, +∞)",授信敞口,无记录、0值和缺失需区分
WARN_0003,预警反馈,是否逾期,布尔,日,T+1,"{是, 否}或{0, 1}",还款表现,无记录、0值和缺失需区分
GEN_0001,通用,客户编号,文本,日,T+1,文本或编码，需字典约束,数据主键,主键缺失表示数据不可用
GEN_0002,通用,观察日期,日期,日,T+1,合法日期，不晚于观察日,数据时点,主键缺失表示数据不可用
GEN_0003,通用,数据月份,日期,日,T+1,合法日期，不晚于观察日,数据时点,主键缺失表示数据不可用
